"Site","Date","Type","Analysis","count","year","month","day","DOY","notes","Group","Location"
"Bridge","2017-06-05","Nutrient","Ammonium",2.57,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","DRP",0.16,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","Silicate",35.36,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","Nitrate",120.66,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","TP",3.13,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","Chloride",363.86,2017,6,5,156,NA,"Early","Inner Bay"
"Bridge","2017-06-05","Nutrient","Sulfate",1031.25,2017,6,5,156,NA,"Early","Inner Bay"
"EC 1163","2017-06-05","Nutrient","Ammonium",2.71,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","DRP",0.13,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","Silicate",51.07,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","Nitrate",102.81,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","TP",2.23,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","Chloride",606.44,2017,6,5,156,NA,"Early","Outer Bay"
"EC 1163","2017-06-05","Nutrient","Sulfate",1365.63,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","Ammonium",3.86,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","DRP",0.1,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","Silicate",37.14,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","Nitrate",89.24,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","TP",2.78,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","Chloride",564.13,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 1","2017-06-05","Nutrient","Sulfate",1250,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","Ammonium",2.43,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","DRP",0.13,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","Silicate",53.21,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","Nitrate",101.38,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","TP",3.13,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","Chloride",476.69,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 2","2017-06-05","Nutrient","Sulfate",1412.5,2017,6,5,156,NA,"Early","Outer Bay"
"ODNR 4","2017-06-05","Nutrient","Ammonium",2.57,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","DRP",0.29,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","Silicate",21.43,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","Nitrate",242.74,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","TP",3.55,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","Chloride",623.36,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 4","2017-06-05","Nutrient","Sulfate",1612.5,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","Ammonium",2.64,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","DRP",0.29,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","Silicate",31.43,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","Nitrate",251.31,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","TP",3.2,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","Chloride",643.1,2017,6,5,156,NA,"Early","Inner Bay"
"ODNR 6","2017-06-05","Nutrient","Sulfate",1840.63,2017,6,5,156,NA,"Early","Inner Bay"
"Buoy 2","2017-06-19","Nutrient","Ammonium",2.43,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","DRP",0.19,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","Silicate",88.93,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","Nitrate",42.12,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","TP",3.39,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","Chloride",541.56,2017,6,19,170,NA,"Early","Outer Bay"
"Buoy 2","2017-06-19","Nutrient","Sulfate",1150,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","Ammonium",2.43,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","DRP",0.16,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","Silicate",50.71,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","Nitrate",32.13,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","TP",1.78,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","Chloride",335.66,2017,6,19,170,NA,"Early","Outer Bay"
"Bells","2017-06-19","Nutrient","Sulfate",596.88,2017,6,19,170,NA,"Early","Outer Bay"
"Bridge","2017-06-19","Nutrient","Ammonium",2.43,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","DRP",0.23,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","Silicate",90.36,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","Nitrate",35.7,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","TP",5.17,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","Chloride",566.95,2017,6,19,170,NA,"Early","Inner Bay"
"Bridge","2017-06-19","Nutrient","Sulfate",1671.88,2017,6,19,170,NA,"Early","Inner Bay"
"EC 1163","2017-06-19","Nutrient","Ammonium",2.5,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","DRP",0.19,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","Silicate",98.57,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","Nitrate",37.84,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","TP",3.23,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","Chloride",482.33,2017,6,19,170,NA,"Early","Outer Bay"
"EC 1163","2017-06-19","Nutrient","Sulfate",1112.5,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","Ammonium",2.28,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","DRP",0.26,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","Silicate",103.21,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","Nitrate",39.98,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","TP",4.68,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","Chloride",662.85,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 1","2017-06-19","Nutrient","Sulfate",1853.13,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","Ammonium",2.43,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","DRP",0.26,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","Silicate",88.93,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","Nitrate",14.99,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","TP",3.55,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","Chloride",344.12,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 2","2017-06-19","Nutrient","Sulfate",1090.63,2017,6,19,170,NA,"Early","Outer Bay"
"ODNR 4","2017-06-19","Nutrient","Ammonium",2.5,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","DRP",0.26,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","Silicate",63.21,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","Nitrate",62.11,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","TP",6.01,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","Chloride",513.36,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 4","2017-06-19","Nutrient","Sulfate",1884.38,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","Ammonium",2.57,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","Nitrite",0,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","DRP",0.23,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","Silicate",34.64,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","Nitrate",241.31,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","TP",6.2,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","Chloride",640.28,2017,6,19,170,NA,"Early","Inner Bay"
"ODNR 6","2017-06-19","Nutrient","Sulfate",1853.13,2017,6,19,170,NA,"Early","Inner Bay"
"Buoy 2","2017-06-21","Nutrient","Ammonium",2.07,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","Nitrite",0,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","DRP",0.29,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","Silicate",112.5,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","Nitrate",29.27,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","TP",4.52,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","Chloride",640.28,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-21","Nutrient","Sulfate",1693.75,2017,6,21,172,NA,"Early","Outer Bay"
"intake buoy","2017-06-21","Nutrient","Ammonium",5.43,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","Nitrite",0,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","DRP",0.32,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","Silicate",59.29,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","Nitrate",57.12,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","TP",1.13,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","Chloride",465.4,2017,6,21,172,NA,"Early","Not Normal"
"intake buoy","2017-06-21","Nutrient","Sulfate",637.5,2017,6,21,172,NA,"Early","Not Normal"
"EC 1163","2017-06-21","Nutrient","Ammonium",2.28,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","Nitrite",0,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","DRP",0.26,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","Silicate",77.5,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","Nitrate",38.55,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","TP",2.32,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","Chloride",479.51,2017,6,21,172,NA,"Early","Outer Bay"
"EC 1163","2017-06-21","Nutrient","Sulfate",965.63,2017,6,21,172,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","Ammonium",2.71,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","DRP",0.32,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","Silicate",107.86,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","Nitrate",18.56,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","TP",3.87,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","Chloride",583.87,2017,6,26,177,NA,"Early","Outer Bay"
"Buoy 2","2017-06-26","Nutrient","Sulfate",1315.63,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","Ammonium",2.93,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","DRP",0.19,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","Silicate",43.21,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","Nitrate",41.41,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","TP",1.42,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","Chloride",445.66,2017,6,26,177,NA,"Early","Outer Bay"
"Bells","2017-06-26","Nutrient","Sulfate",703.13,2017,6,26,177,NA,"Early","Outer Bay"
"Bridge","2017-06-26","Nutrient","Ammonium",2.5,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","DRP",0.26,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","Silicate",46.07,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","Nitrate",62.83,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","TP",5.65,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","Chloride",612.08,2017,6,26,177,NA,"Early","Inner Bay"
"Bridge","2017-06-26","Nutrient","Sulfate",1653.13,2017,6,26,177,NA,"Early","Inner Bay"
"EC 1163","2017-06-26","Nutrient","Ammonium",2.71,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","DRP",0.29,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","Silicate",82.86,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","Nitrate",31.41,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","TP",2.81,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","Chloride",490.79,2017,6,26,177,NA,"Early","Outer Bay"
"EC 1163","2017-06-26","Nutrient","Sulfate",918.75,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","Ammonium",2.57,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","DRP",0.23,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","Silicate",111.43,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","Nitrate",12.14,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","TP",5.55,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","Chloride",597.97,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 1","2017-06-26","Nutrient","Sulfate",1409.38,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","Ammonium",2.57,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","DRP",0.16,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","Silicate",86.07,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","Nitrate",35.7,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","TP",4.94,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","Chloride",606.44,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 2","2017-06-26","Nutrient","Sulfate",1562.5,2017,6,26,177,NA,"Early","Outer Bay"
"ODNR 4","2017-06-26","Nutrient","Ammonium",2.57,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","DRP",0.26,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","Silicate",145.36,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","Nitrate",33.56,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","TP",10.01,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","Chloride",733.37,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 4","2017-06-26","Nutrient","Sulfate",2787.5,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","Ammonium",2.71,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","Nitrite",0,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","DRP",0.29,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","Silicate",66.79,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","Nitrate",96.38,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","TP",6.68,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","Chloride",688.24,2017,6,26,177,NA,"Early","Inner Bay"
"ODNR 6","2017-06-26","Nutrient","Sulfate",2346.88,2017,6,26,177,NA,"Early","Inner Bay"
"Bayside intake","2017-07-05","Nutrient","Ammonium",8.35,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Nitrite",2.14,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","DRP",0.36,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Silicate",153.93,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Nitrate",67.11,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","TP",2.74,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Chloride",967.48,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Sulfate",1968.75,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Ammonium",5.85,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Nitrite",0,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","DRP",0.23,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Silicate",141.07,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Nitrate",80.68,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","TP",2.39,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Chloride",959.02,2017,7,5,186,NA,"Early","Not Normal"
"Bayside intake","2017-07-05","Nutrient","Sulfate",1900,2017,7,5,186,NA,"Early","Not Normal"
"Buoy 2","2017-07-17","Nutrient","Ammonium",9.57,2017,7,17,198,NA,"Early","Outer Bay"
"Buoy 2","2017-07-17","Nutrient","Nitrite",5.71,2017,7,17,198,NA,"Early","Outer Bay"
"Buoy 2","2017-07-17","Nutrient","DRP",0.77,2017,7,17,198,NA,"Early","Outer Bay"
"Buoy 2","2017-07-17","Nutrient","Silicate",65.36,2017,7,17,198,NA,"Early","Outer Bay"
"Buoy 2","2017-07-17","Nutrient","Nitrate",209.19,2017,7,17,198,NA,"Early","Outer Bay"
