"Site","Date","Type","Analysis","count","year","month","day","DOY","notes"
"Buoy_2",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"ODNR_1",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"EC_1163",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"Muddy_Creek",2018-06-19,"Total/Dissolved","mc_elisa_final",NA,2018,6,19,170,"belowdetection"
"ODNR_4",2018-06-19,"Total/Dissolved","mc_elisa_final",NA,2018,6,19,170,"belowdetection"
"ODNR_6",2018-06-19,"Total/Dissolved","mc_elisa_final",8.13,2018,6,19,170,""
"Bridge",2018-06-19,"Total/Dissolved","mc_elisa_final",10.1,2018,6,19,170,""
"ODNR_2",2018-06-19,"Total/Dissolved","mc_elisa_final",9.38,2018,6,19,170,""
"Buoy_2",2018-06-19,"Total/Dissolved","mc_elisa_final",12.9,2018,6,19,170,""
"ODNR_1",2018-06-19,"Total/Dissolved","mc_elisa_final",8.46,2018,6,19,170,""
"EC_1163",2018-06-19,"Total/Dissolved","mc_elisa_final",6.83,2018,6,19,170,""
"Bells",2018-06-19,"Total/Dissolved","mc_elisa_final",NA,2018,6,19,170,"belowdetection"
"Muddy_Creek",2018-06-26,"Total/Dissolved","mc_elisa_final",NA,2018,6,26,177,"belowdetection"
"ODNR_4",2018-06-26,"Total/Dissolved","mc_elisa_final",7.44,2018,6,26,177,""
"ODNR_6",2018-06-26,"Total/Dissolved","mc_elisa_final",13.8,2018,6,26,177,""
"Bridge",2018-06-26,"Total/Dissolved","mc_elisa_final",15.8,2018,6,26,177,""
"ODNR_2",2018-06-26,"Total/Dissolved","mc_elisa_final",18,2018,6,26,177,""
"Buoy_2",2018-06-26,"Total/Dissolved","mc_elisa_final",14.1,2018,6,26,177,""
"ODNR_1",2018-06-26,"Total/Dissolved","mc_elisa_final",24.6,2018,6,26,177,""
"EC_1163",2018-06-26,"Total/Dissolved","mc_elisa_final",10.2,2018,6,26,177,""
"Bells",2018-06-26,"Total/Dissolved","mc_elisa_final",0.89,2018,6,26,177,""
"Muddy_Creek",2018-07-10,"Total/Dissolved","mc_elisa_final",4.17,2018,7,10,191,""
"ODNR_4",2018-07-10,"Total/Dissolved","mc_elisa_final",14.9,2018,7,10,191,""
"ODNR_6",2018-07-10,"Total/Dissolved","mc_elisa_final",20.4,2018,7,10,191,""
"Bridge",2018-07-10,"Total/Dissolved","mc_elisa_final",14.9,2018,7,10,191,""
"ODNR_2",2018-07-10,"Total/Dissolved","mc_elisa_final",11.7,2018,7,10,191,""
"Buoy_2",2018-07-10,"Total/Dissolved","mc_elisa_final",9.76,2018,7,10,191,""
"ODNR_1",2018-07-10,"Total/Dissolved","mc_elisa_final",10.7,2018,7,10,191,""
"EC_1163",2018-07-10,"Total/Dissolved","mc_elisa_final",6.68,2018,7,10,191,""
"Bells",2018-07-10,"Total/Dissolved","mc_elisa_final",3.56,2018,7,10,191,""
"Muddy_Creek",2018-07-24,"Total/Dissolved","mc_elisa_final",5.76,2018,7,24,205,""
"ODNR_4",2018-07-24,"Total/Dissolved","mc_elisa_final",5.65,2018,7,24,205,""
"ODNR_6",2018-07-24,"Total/Dissolved","mc_elisa_final",21.5,2018,7,24,205,""
"Bridge",2018-07-24,"Total/Dissolved","mc_elisa_final",12.5,2018,7,24,205,""
"ODNR_2",2018-07-24,"Total/Dissolved","mc_elisa_final",5.64,2018,7,24,205,""
"Buoy_2",2018-07-24,"Total/Dissolved","mc_elisa_final",2.66,2018,7,24,205,""
"ODNR_1",2018-07-24,"Total/Dissolved","mc_elisa_final",2.69,2018,7,24,205,""
"EC_1163",2018-07-24,"Total/Dissolved","mc_elisa_final",2.4,2018,7,24,205,""
"Bells",2018-07-24,"Total/Dissolved","mc_elisa_final",0.72,2018,7,24,205,""
"Muddy_Creek",2018-08-07,"Total/Dissolved","mc_elisa_final",4.4,2018,8,7,219,""
"ODNR_4",2018-08-07,"Total/Dissolved","mc_elisa_final",7.77,2018,8,7,219,""
"ODNR_6",2018-08-07,"Total/Dissolved","mc_elisa_final",8.34,2018,8,7,219,""
"Bridge",2018-08-07,"Total/Dissolved","mc_elisa_final",8.41,2018,8,7,219,""
"Muddy_Creek",2018-09-11,"Total/Dissolved","mc_elisa_final",2.34,2018,9,11,254,""
"ODNR_4",2018-09-11,"Total/Dissolved","mc_elisa_final",7.8,2018,9,11,254,""
"ODNR_6",2018-09-11,"Total/Dissolved","mc_elisa_final",7.76,2018,9,11,254,""
"Bridge",2018-09-11,"Total/Dissolved","mc_elisa_final",10.2,2018,9,11,254,""
"ODNR_2",2018-09-11,"Total/Dissolved","mc_elisa_final",10.9,2018,9,11,254,""
"Buoy_2",2018-09-11,"Total/Dissolved","mc_elisa_final",6.12,2018,9,11,254,""
"ODNR_1",2018-09-11,"Total/Dissolved","mc_elisa_final",6.25,2018,9,11,254,""
"EC_1163",2018-09-11,"Total/Dissolved","mc_elisa_final",7.7,2018,9,11,254,""
"Bells",2018-09-11,"Total/Dissolved","mc_elisa_final",NA,2018,9,11,254,"belowdetection"
"ODNR 1",2019-06-10,"Total","mc_elisa_final",9.291,2019,6,10,161,""
"ODNR 1",2019-06-10,"Dissolved","mc_elisa_final",0.333,2019,6,10,161,""
"EC 1163",2019-06-10,"Total","mc_elisa_final",13.092,2019,6,10,161,""
"EC 1163",2019-06-10,"Dissolved","mc_elisa_final",0.235,2019,6,10,161,""
"Buoy 2",2019-06-10,"Total","mc_elisa_final",7.346,2019,6,10,161,""
"Buoy 2",2019-06-10,"Dissolved","mc_elisa_final",0.287,2019,6,10,161,""
"Muddy Creek",2019-06-10,"Total","mc_elisa_final",NA,2019,6,10,161,"belowdetection"
"Muddy Creek",2019-06-10,"Dissolved","mc_elisa_final",NA,2019,6,10,161,"belowdetection"
"ODNR 4",2019-06-10,"Total","mc_elisa_final",0.869,2019,6,10,161,""
"ODNR 4",2019-06-10,"Dissolved","mc_elisa_final",0.04,2019,6,10,161,""
"ODNR 6",2019-06-10,"Total","mc_elisa_final",0.265,2019,6,10,161,""
"ODNR 6",2019-06-10,"Dissolved","mc_elisa_final",0.022,2019,6,10,161,""
"Bridge",2019-06-10,"Dissolved","mc_elisa_final",0.345,2019,6,10,161,""
"ODNR 2",2019-06-10,"Total","mc_elisa_final",NA,2019,6,10,161,"overdetection"
"ODNR 2",2019-06-10,"Dissolved","mc_elisa_final",0.434,2019,6,10,161,""
"Muddy Creek",2019-06-17,"Total","mc_elisa_final",NA,2019,6,17,168,"belowdetection"
"Muddy Creek",2019-06-17,"Dissolved","mc_elisa_final",NA,2019,6,17,168,"belowdetection"
"ODNR 4",2019-06-17,"Total","mc_elisa_final",NA,2019,6,17,168,"belowdetection"
"ODNR 4",2019-06-17,"Dissolved","mc_elisa_final",NA,2019,6,17,168,"belowdetection"
"ODNR 6",2019-06-17,"Total","mc_elisa_final",0.004,2019,6,17,168,""
"ODNR 6",2019-06-17,"Dissolved","mc_elisa_final",0.163,2019,6,17,168,""
"Bridge",2019-06-17,"Total","mc_elisa_final",1.596,2019,6,17,168,""
"Bridge",2019-06-17,"Dissolved","mc_elisa_final",0.121,2019,6,17,168,""
"ODNR 2",2019-06-17,"Dissolved","mc_elisa_final",0.178,2019,6,17,168,""
"ODNR 1",2019-06-17,"Total","mc_elisa_final",7.582,2019,6,17,168,""
"ODNR 1",2019-06-17,"Dissolved","mc_elisa_final",0.513,2019,6,17,168,""
"Buoy 2",2019-06-17,"Total","mc_elisa_final",8.061,2019,6,17,168,""
"Buoy 2",2019-06-17,"Dissolved","mc_elisa_final",0.383,2019,6,17,168,""
"EC 1163",2019-06-17,"Total","mc_elisa_final",5.423,2019,6,17,168,""
"EC 1163",2019-06-17,"Dissolved","mc_elisa_final",0.349,2019,6,17,168,""
"Bells",2019-06-17,"Total","mc_elisa_final",0.2,2019,6,17,168,""
"Bells",2019-06-17,"Dissolved","mc_elisa_final",0.131,2019,6,17,168,""
"Bridge",2019-04-22,"Total","mc_elisa_final",0.517,2019,4,22,112,""
"Bridge",2019-04-22,"Dissolved","mc_elisa_final",NA,2019,4,22,112,"belowdetection"
"Bridge",2019-05-29,"Total","mc_elisa_final",0.751,2019,5,29,149,""
"Bridge",2019-05-29,"Dissolved","mc_elisa_final",0.032,2019,5,29,149,""
"Bridge",2019-06-12,"Total","mc_elisa_final",6.435,2019,6,12,163,""
"Bridge",2019-06-12,"Dissolved","mc_elisa_final",1.004,2019,6,12,163,""
"Muddy Creek",2019-08-05,"Total","mc_elisa_final",0.175,2019,8,5,217,""
"Muddy Creek",2019-08-05,"Dissolved","mc_elisa_final",0.036,2019,8,5,217,""
"ODNR 4",2019-08-05,"Total","mc_elisa_final",1.416,2019,8,5,217,""
"ODNR 4",2019-08-05,"Dissolved","mc_elisa_final",0.183,2019,8,5,217,""
"ODNR 6",2019-08-05,"Total","mc_elisa_final",2.085,2019,8,5,217,""
"ODNR 6",2019-08-05,"Dissolved","mc_elisa_final",0.18,2019,8,5,217,""
"Bridge",2019-08-05,"Total","mc_elisa_final",2.477,2019,8,5,217,""
"Bridge",2019-08-05,"Dissolved","mc_elisa_final",0.101,2019,8,5,217,""
"ODNR 2",2019-08-05,"Total","mc_elisa_final",2.94,2019,8,5,217,""
"ODNR 2",2019-08-05,"Dissolved","mc_elisa_final",0.123,2019,8,5,217,""
"Buoy 2",2019-08-05,"Total","mc_elisa_final",2.734,2019,8,5,217,""
"Buoy 2",2019-08-05,"Dissolved","mc_elisa_final",0.064,2019,8,5,217,""
"ODNR 1",2019-08-05,"Total","mc_elisa_final",1.739,2019,8,5,217,""
"ODNR 1",2019-08-05,"Dissolved","mc_elisa_final",0.142,2019,8,5,217,""
"EC 1163",2019-08-05,"Total","mc_elisa_final",1.976,2019,8,5,217,""
"EC 1163",2019-08-05,"Dissolved","mc_elisa_final",0.045,2019,8,5,217,""
"Bells",2019-08-05,"Total","mc_elisa_final",0.159,2019,8,5,217,""
"Bells",2019-08-05,"Dissolved","mc_elisa_final",0.047,2019,8,5,217,""
"ODNR 2",2019-08-19,"Total","mc_elisa_final",1.093,2019,8,19,231,""
"ODNR 2",2019-08-19,"Dissolved","mc_elisa_final",0.295,2019,8,19,231,""
"Buoy 2",2019-08-19,"Total","mc_elisa_final",0.85,2019,8,19,231,""
"Buoy 2",2019-08-19,"Dissolved","mc_elisa_final",0.239,2019,8,19,231,""
"ODNR 1",2019-08-19,"Total","mc_elisa_final",0.865,2019,8,19,231,""
"ODNR 1",2019-08-19,"Dissolved","mc_elisa_final",0.196,2019,8,19,231,""
"EC 1163",2019-08-19,"Total","mc_elisa_final",1.039,2019,8,19,231,""
"EC 1163",2019-08-19,"Dissolved","mc_elisa_final",0.092,2019,8,19,231,""
"Bells",2019-08-19,"Total","mc_elisa_final",1.044,2019,8,19,231,""
"Bells",2019-08-19,"Dissolved","mc_elisa_final",0.113,2019,8,19,231,""
"Muddy_Creek",2020-06-22,"Total/Dissolved","mc_elisa_final",0.04,2020,6,22,174,""
"ODNR_4",2020-06-22,"Total/Dissolved","mc_elisa_final",NA,2020,6,22,174,""
"ODNR_6",2020-06-22,"Total/Dissolved","mc_elisa_final",NA,2020,6,22,174,""
"Buoy_2",2020-06-22,"Total/Dissolved","mc_elisa_final",NA,2020,6,22,174,""
"Muddy_Creek",2020-06-29,"Total/Dissolved","mc_elisa_final",0.05,2020,6,29,181,""
"ODNR_6",2020-06-29,"Total/Dissolved","mc_elisa_final",0.29,2020,6,29,181,""
"ODNR_2",2020-06-29,"Total/Dissolved","mc_elisa_final",0,2020,6,29,181,""
"BUOY_2",2020-06-29,"Total/Dissolved","mc_elisa_final",0.01,2020,6,29,181,""
"Muddy_Creek",2020-07-06,"Total/Dissolved","mc_elisa_final",0.65,2020,7,6,188,""
"ODNR_6",2020-07-06,"Total/Dissolved","mc_elisa_final",0.2,2020,7,6,188,""
"ODNR_2",2020-07-06,"Total/Dissolved","mc_elisa_final",0.16,2020,7,6,188,""
"Buoy_2",2020-07-06,"Total/Dissolved","mc_elisa_final",0.12,2020,7,6,188,""
"Muddy_Creek",2020-07-13,"Total/Dissolved","mc_elisa_final",0.53,2020,7,13,195,""
"ODNR_6",2020-07-13,"Total/Dissolved","mc_elisa_final",0.54,2020,7,13,195,""
"ODNR_2",2020-07-13,"Total/Dissolved","mc_elisa_final",0.68,2020,7,13,195,""
"Buoy_2",2020-07-13,"Total/Dissolved","mc_elisa_final",0.38,2020,7,13,195,""
"Muddy_Creek",2020-07-20,"Total/Dissolved","mc_elisa_final",0.18,2020,7,20,202,""
"ODNR_6",2020-07-20,"Total/Dissolved","mc_elisa_final",0.37,2020,7,20,202,""
"ODNR_2",2020-07-20,"Total/Dissolved","mc_elisa_final",0.1,2020,7,20,202,""
"Buoy_2",2020-07-20,"Total/Dissolved","mc_elisa_final",0.18,2020,7,20,202,""
"Muddy_Creek",2020-07-27,"Total/Dissolved","mc_elisa_final",0.2,2020,7,27,209,""
"Muddy_Creek",2020-07-27,"Total/Dissolved","mc_elisa_final",0.06,2020,7,27,209,""
"ODNR_6",2020-07-27,"Total/Dissolved","mc_elisa_final",0.19,2020,7,27,209,""
"Bridge",2020-07-27,"Total/Dissolved","mc_elisa_final",0.1,2020,7,27,209,""
"ODNR_2",2020-07-27,"Total/Dissolved","mc_elisa_final",0.17,2020,7,27,209,""
"Buoy_2",2020-07-27,"Total/Dissolved","mc_elisa_final",0.13,2020,7,27,209,""
"Buoy_2",2020-07-27,"Total/Dissolved","mc_elisa_final",0.07,2020,7,27,209,""
"Muddy_Creek",2020-08-03,"Total/Dissolved","mc_elisa_final",0.19,2020,8,3,216,""
"Muddy_Creek",2020-08-03,"Total/Dissolved","mc_elisa_final",0.07,2020,8,3,216,""
"ODNR_6",2020-08-03,"Total/Dissolved","mc_elisa_final",0.22,2020,8,3,216,""
"Bridge",2020-08-03,"Total/Dissolved","mc_elisa_final",0.13,2020,8,3,216,""
"ODNR_2",2020-08-03,"Total/Dissolved","mc_elisa_final",0.18,2020,8,3,216,""
"Buoy_2",2020-08-03,"Total/Dissolved","mc_elisa_final",0.17,2020,8,3,216,""
"Buoy_2",2020-08-03,"Total/Dissolved","mc_elisa_final",0.09,2020,8,3,216,""
"Muddy_Creek",2020-08-10,"Total/Dissolved","mc_elisa_final",0.06,2020,8,10,223,""
"Muddy_Creek",2020-08-10,"Total/Dissolved","mc_elisa_final",0.06,2020,8,10,223,""
"ODNR_6",2020-08-10,"Total/Dissolved","mc_elisa_final",0.13,2020,8,10,223,""
"Bridge",2020-08-10,"Total/Dissolved","mc_elisa_final",0.14,2020,8,10,223,""
"ODNR_2",2020-08-10,"Total/Dissolved","mc_elisa_final",0.12,2020,8,10,223,""
"Buoy_2",2020-08-10,"Total/Dissolved","mc_elisa_final",0.07,2020,8,10,223,""
"Buoy_2",2020-08-10,"Total/Dissolved","mc_elisa_final",0.08,2020,8,10,223,""
"Muddy_Creek",2020-08-17,"Total/Dissolved","mc_elisa_final",0.08,2020,8,17,230,""
"Muddy_Creek",2020-08-17,"Total/Dissolved","mc_elisa_final",0.05,2020,8,17,230,""
"ODNR_6",2020-08-17,"Total/Dissolved","mc_elisa_final",0.09,2020,8,17,230,""
"Bridge",2020-08-17,"Total/Dissolved","mc_elisa_final",0.13,2020,8,17,230,""
"ODNR_2",2020-08-17,"Total/Dissolved","mc_elisa_final",0.13,2020,8,17,230,""
"Buoy_2",2020-08-17,"Total/Dissolved","mc_elisa_final",0.08,2020,8,17,230,""
"Buoy_2",2020-08-17,"Total/Dissolved","mc_elisa_final",0.05,2020,8,17,230,""
"Muddy_Creek",2020-08-25,"Total/Dissolved","mc_elisa_final",0.15,2020,8,25,238,""
"Muddy_Creek",2020-08-25,"Total/Dissolved","mc_elisa_final",0.1,2020,8,25,238,""
"Bridge",2020-08-25,"Total/Dissolved","mc_elisa_final",0.17,2020,8,25,238,""
"ODNR_2",2020-08-25,"Total/Dissolved","mc_elisa_final",0.09,2020,8,25,238,""
"ODNR_2",2020-08-25,"Total/Dissolved","mc_elisa_final",0.09,2020,8,25,238,""
"Buoy_2",2020-08-25,"Total/Dissolved","mc_elisa_final",0.09,2020,8,25,238,""
"Buoy_2",2020-08-25,"Total/Dissolved","mc_elisa_final",0.07,2020,8,25,238,""
"Muddy_Creek",2020-08-31,"Total/Dissolved","mc_elisa_final",0.08,2020,8,31,244,""
"Muddy_Creek",2020-08-31,"Total/Dissolved","mc_elisa_final",0.04,2020,8,31,244,""
"ODNR_6",2020-08-31,"Total/Dissolved","mc_elisa_final",0.16,2020,8,31,244,""
"Bridge",2020-08-31,"Total/Dissolved","mc_elisa_final",0.2,2020,8,31,244,""
"ODNR_2",2020-08-31,"Total/Dissolved","mc_elisa_final",0.09,2020,8,31,244,""
"Buoy_2",2020-08-31,"Total/Dissolved","mc_elisa_final",0.15,2020,8,31,244,""
"Buoy_2",2020-08-31,"Total/Dissolved","mc_elisa_final",0.04,2020,8,31,244,""
"Muddy_Creek",2020-09-08,"Total/Dissolved","mc_elisa_final",0.08,2020,9,8,252,""
"Muddy_Creek",2020-09-08,"Total/Dissolved","mc_elisa_final",0.07,2020,9,8,252,""
"ODNR_6",2020-09-08,"Total/Dissolved","mc_elisa_final",0.07,2020,9,8,252,""
"Bridge",2020-09-08,"Total/Dissolved","mc_elisa_final",0.04,2020,9,8,252,""
"ODNR_2",2020-09-08,"Total/Dissolved","mc_elisa_final",0.04,2020,9,8,252,""
"Buoy_2",2020-09-08,"Total/Dissolved","mc_elisa_final",0.04,2020,9,8,252,""
"Buoy_2",2020-09-08,"Total/Dissolved","mc_elisa_final",0.05,2020,9,8,252,""
"Muddy_Creek",2020-09-14,"Total/Dissolved","mc_elisa_final",0.09,2020,9,14,258,""
"ODNR_6",2020-09-14,"Total/Dissolved","mc_elisa_final",0.13,2020,9,14,258,""
"Bridge",2020-09-14,"Total/Dissolved","mc_elisa_final",0.21,2020,9,14,258,""
"ODNR_2",2020-09-14,"Total/Dissolved","mc_elisa_final",0.14,2020,9,14,258,""
"Buoy_2",2020-09-14,"Total/Dissolved","mc_elisa_final",0.14,2020,9,14,258,""
"Muddy_Creek",2020-09-14,"Total/Dissolved","mc_elisa_final",0.09,2020,9,14,258,""
"Buoy_2",2020-09-14,"Total/Dissolved","mc_elisa_final",0.08,2020,9,14,258,""
"Muddy_Creek",2020-10-13,"Total/Dissolved","mc_elisa_final",0.09,2020,10,13,287,""
"ODNR_6",2020-10-13,"Total/Dissolved","mc_elisa_final",0.1,2020,10,13,287,""
"Bridge",2020-10-13,"Total/Dissolved","mc_elisa_final",0.1,2020,10,13,287,""
"ODNR_2",2020-10-13,"Total/Dissolved","mc_elisa_final",0.06,2020,10,13,287,""
"Buoy_2",2020-10-13,"Total/Dissolved","mc_elisa_final",0.11,2020,10,13,287,""
"Buoy_2",2020-10-13,"Total/Dissolved","mc_elisa_final",0.07,2020,10,13,287,""
"Muddy_Creek",2020-10-13,"Total/Dissolved","mc_elisa_final",0.06,2020,10,13,287,""
"Muddy Creek",2021-04-26,"Total","mc_elisa_final",0.4,2021,4,26,116,""
"Muddy Creek",2021-04-26,"Dissolved","mc_elisa_final",0.02,2021,4,26,116,""
"ODNR_2",2021-04-26,"Total","mc_elisa_final",0.04,2021,4,26,116,""
"ODNR_6",2021-04-26,"Total","mc_elisa_final",0.17,2021,4,26,116,""
"Bridge",2021-04-26,"Total","mc_elisa_final",0.06,2021,4,26,116,""
"Buoy_2",2021-04-26,"Total","mc_elisa_final",0.03,2021,4,26,116,""
"Buoy_2",2021-04-26,"Dissolved","mc_elisa_final",0.04,2021,4,26,116,""
"Muddy Creek",2021-05-11,"Total","mc_elisa_final",0.07,2021,5,11,131,""
"Muddy Creek",2021-05-11,"Dissolved","mc_elisa_final",0.04,2021,5,11,131,""
"ODNR_6",2021-05-11,"Total","mc_elisa_final",0.03,2021,5,11,131,""
"Bridge",2021-05-11,"Total","mc_elisa_final",0,2021,5,11,131,""
"ODNR_2",2021-05-11,"Total","mc_elisa_final",0.06,2021,5,11,131,""
"Buoy_2",2021-05-11,"Total","mc_elisa_final",0.04,2021,5,11,131,""
"Buoy_2",2021-05-11,"Dissolved","mc_elisa_final",0.03,2021,5,11,131,""
"Muddy Creek",2021-05-24,"Total","mc_elisa_final",0.06,2021,5,24,144,""
"Muddy Creek",2021-05-24,"Dissolved","mc_elisa_final",0.06,2021,5,24,144,""
"ODNR_6",2021-05-24,"Total","mc_elisa_final",0.13,2021,5,24,144,""
"Bridge",2021-05-24,"Total","mc_elisa_final",0.06,2021,5,24,144,""
"ODNR_2",2021-05-24,"Total","mc_elisa_final",0.07,2021,5,24,144,""
"Buoy_2",2021-05-24,"Total","mc_elisa_final",0,2021,5,24,144,""
"Buoy_2",2021-05-24,"Dissolved","mc_elisa_final",0,2021,5,24,144,""
"ODNR_6",2021-06-07,"Total","mc_elisa_final",0,2021,6,7,158,""
"ODNR_6",2021-06-07,"Dissolved","mc_elisa_final",0,2021,6,7,158,""
"Bridge",2021-06-07,"Total","mc_elisa_final",0,2021,6,7,158,""
"Bridge",2021-06-07,"Dissolved","mc_elisa_final",0,2021,6,7,158,""
"ODNR_2",2021-06-07,"Total","mc_elisa_final",0,2021,6,7,158,""
"ODNR_2",2021-06-07,"Dissolved","mc_elisa_final",0,2021,6,7,158,""
"ODNR_6",2021-06-14,"Total","mc_elisa_final",0,2021,6,14,165,""
"ODNR_6",2021-06-14,"Dissolved","mc_elisa_final",0,2021,6,14,165,""
"Bridge",2021-06-14,"Total","mc_elisa_final",0,2021,6,14,165,""
"Bridge",2021-06-14,"Dissolved","mc_elisa_final",0.06,2021,6,14,165,""
"ODNR_2",2021-06-14,"Total","mc_elisa_final",0,2021,6,14,165,""
"ODNR_2",2021-06-14,"Dissolved","mc_elisa_final",0,2021,6,14,165,""
"ODNR_6",2021-06-21,"Total","mc_elisa_final",0.12,2021,6,21,172,""
"Bridge",2021-06-21,"Total","mc_elisa_final",0.37,2021,6,21,172,""
